algorithm,entity,precision,recall,f1-score,support
Flair Embeddings (3 Ent),IND,0.9577,0.9703,0.9639,303
Flair Embeddings (3 Ent),ORG,0.64,0.6154,0.6275,208
Flair Embeddings (3 Ent),GRNB,0.9286,0.975,0.9512,160
Flair Embeddings (5 Ent),IND,0.9764,0.9797,0.978,295
Flair Embeddings (5 Ent),FUND,0.6722,0.7707,0.7181,157
Flair Embeddings (5 Ent),GRNB,0.9345,0.9812,0.9573,160
Flair Embeddings (5 Ent),UNI,0.7802,0.7172,0.7474,99
Flair Embeddings (5 Ent),COR,0.75,0.5,0.6,12
Flair Embeddings (RoBERTa),IND,0.9206,0.9831,0.9508,295
Flair Embeddings (RoBERTa),FUND,0.6096,0.7261,0.6628,157
Flair Embeddings (RoBERTa),GRNB,0.8896,0.9062,0.8978,160
Flair Embeddings (RoBERTa),UNI,0.5963,0.6566,0.625,99
Flair Embeddings (RoBERTa),MISC,0.4135,0.5244,0.4624,82
Flair Embeddings (RoBERTa),COR,1.0,0.5,0.6667,12
